,Name,Price,Kms_driven,Fuel_type,Year,Company
285,Maruti Suzuki Alto,462399,15032,4,2017,Maruti
286,Maruti Suzuki Alto,319999,15575,4,2017,Maruti
287,Maruti Suzuki Swift,275699,147819,1,2010,Maruti
288,Hyundai Grand i10,501599,35203,4,2016,Hyundai
289,Maruti Suzuki Eeco,506599,7597,4,2020,Maruti
290,Mahindra Scorpio S5,1198599,34883,1,2018,Mahindra
291,Ford Ecosport -,775499,59580,1,2017,Ford
292,Maruti Suzuki Ritz,338999,49647,4,2011,Maruti
293,Hyundai Verna Fluidic,652699,67577,4,2016,Hyundai
294,Tata Tiago -,535899,10890,4,2017,Tata
295,Maruti Suzuki Swift,492099,57444,4,2015,Maruti
296,Honda City -,885999,33598,4,2017,Honda
297,Ford Freestyle -,694899,17804,4,2018,Ford
298,Maruti Suzuki Swift,450599,62613,4,2013,Maruti
299,Hyundai i20 Asta,377999,56974,4,2010,Hyundai
300,Datsun Redi GO,491499,1405,4,2021,Datsun
301,Hyundai Verna -,1171199,36965,4,2018,Hyundai
302,Honda WR V,625699,25526,4,2017,Honda
303,Hyundai Grand i10,453199,20235,4,2016,Hyundai
304,Maruti Suzuki Vitara,850499,61064,1,2018,Maruti
305,Maruti Suzuki Ignis,548699,12558,4,2018,Maruti
306,Maruti Suzuki Alto,498799,14179,4,2019,Maruti
307,Honda City VX,1377199,20379,4,2020,Honda
308,Ford Ecosport -,772799,42837,4,2017,Ford
309,Hyundai Elite i20,572599,67473,4,2016,Hyundai
310,Honda City V,774899,27576,4,2016,Honda
311,Maruti Suzuki S,885099,80900,1,2017,Maruti
312,Hyundai Elite i20,687499,100934,1,2017,Hyundai
313,Hyundai Elite i20,567799,29060,4,2015,Hyundai
314,Hyundai i10 Magna,398499,36129,4,2016,Hyundai
315,Maruti Suzuki Swift,348499,156442,1,2011,Maruti
316,Maruti Suzuki Wagon,520899,48710,4,2018,Maruti
317,Ford Ecosport -,916799,20619,4,2018,Ford
318,Maruti Suzuki Wagon,480999,51149,5,2018,Maruti
319,Tata Nexon -,1043299,12978,4,2020,Tata
320,Honda City V,787399,40025,4,2016,Honda
321,Hyundai Grand i10,501599,63075,4,2016,Hyundai
322,Honda Brio -,362999,78724,4,2012,Honda
323,Renault Kwid -,403199,12257,4,2018,Renault
324,Hyundai Venue -,1022599,26890,1,2019,Hyundai
325,Nissan Micra Active,483199,20485,4,2018,Nissan
326,Hyundai EON Era,321399,69220,4,2017,Hyundai
327,Maruti Suzuki Alto,307999,41900,4,2017,Maruti
328,Maruti Suzuki Eeco,478599,11944,4,2019,Maruti
329,Maruti Suzuki Wagon,405199,66143,4,2015,Maruti
330,Maruti Suzuki Alto,314999,16563,4,2018,Maruti
331,Hyundai Elite i20,684599,14460,4,2016,Hyundai
332,Maruti Suzuki Alto,413099,47120,4,2018,Maruti
333,Maruti Suzuki Swift,501199,147960,1,2016,Maruti
334,Maruti Suzuki Wagon,357399,38766,4,2014,Maruti
335,Maruti Suzuki Eeco,494199,8409,4,2019,Maruti
336,Renault Kwid RxL,424099,20718,4,2019,Renault
337,Maruti Suzuki Baleno,598299,51125,4,2017,Maruti
338,Hyundai Grand i10,477599,64459,4,2014,Hyundai
339,Maruti Suzuki Swift,447599,29467,4,2014,Maruti
340,Tata Nexon -,703999,18019,4,2017,Tata
341,Maruti Suzuki Celerio,416099,40710,4,2016,Maruti
342,Maruti Suzuki S,559099,1956,4,2021,Maruti
343,Hyundai Grand i10,527099,21531,4,2018,Hyundai
344,Kia Seltos -,1517999,20989,4,2019,Kia
345,Hyundai i20 -,431099,33901,4,2013,Hyundai
346,Hyundai Grand i10,539799,54696,4,2018,Hyundai
347,MG Motors Hector,1800299,11292,1,2019,MG
348,Hyundai Grand i10,616599,27317,4,2017,Hyundai
349,Hyundai Xcent -,466599,79784,4,2014,Hyundai
350,Audi Q3 -,1656999,73656,1,2015,Audi
351,Tata Tiago -,562999,27664,4,2018,Tata
352,Hyundai Verna FLUIDIC,488899,41898,4,2012,Hyundai
353,Maruti Suzuki S,514599,4889,4,2021,Maruti
354,Hyundai Grand i10,495299,39836,4,2015,Hyundai
355,Honda Jazz -,752399,16108,4,2016,Honda
356,Hyundai Grand i10,474799,46111,4,2015,Hyundai
357,Maruti Suzuki Ciaz,849599,23761,4,2018,Maruti
358,Maruti Suzuki S,663199,146782,1,2016,Maruti
359,Hyundai Grand i10,566699,26597,4,2016,Hyundai
360,Maruti Suzuki Eeco,471199,12323,4,2018,Maruti
361,Renault Kwid RXL,385499,3230,4,2017,Renault
362,Maruti Suzuki Swift,491599,62059,4,2016,Maruti
363,Maruti Suzuki Baleno,725699,28188,4,2019,Maruti
364,BMW 5 Series,990000,49000,4,2010,BMW
365,Hyundai Grand i10,640099,32877,4,2019,Hyundai
366,Maruti Suzuki Ignis,575099,17283,4,2019,Maruti
367,Maruti Suzuki Ertiga,1081899,86033,1,2018,Maruti
368,Volkswagen Polo -,726399,17419,4,2018,Volkswagen
369,Maruti Suzuki Eeco,480399,24416,4,2019,Maruti
370,Renault Kwid RxL,369599,26700,4,2017,Renault
371,Maruti Suzuki Swift,451399,28979,4,2014,Maruti
372,Maruti Suzuki Eeco,494099,27150,4,2019,Maruti
373,Ford EcoSport -,1240899,3195,4,2020,Ford
374,Hyundai Eon Era,286199,26761,4,2013,Hyundai
375,Hyundai Grand i10,509399,71992,4,2017,Hyundai
376,Maruti Suzuki Alto,378099,27239,4,2016,Maruti
377,Honda Jazz -,586699,36244,4,2016,Honda
378,Maruti Suzuki Vitara,906899,69807,1,2019,Maruti
379,Maruti Suzuki Vitara,882199,31803,1,2019,Maruti
380,Honda Jazz -,507999,92373,4,2015,Honda
381,Maruti Suzuki Vitara,782999,59612,1,2016,Maruti
382,Ford Ecosport -,623399,30212,4,2014,Ford
383,Maruti Suzuki Ignis,548699,18113,4,2018,Maruti
384,Maruti Suzuki Alto,397099,48435,4,2018,Maruti
385,Maruti Suzuki Wagon,392099,29297,4,2015,Maruti
386,Maruti Suzuki Wagon,354599,53525,4,2012,Maruti
387,Honda Amaze -,719599,15890,4,2018,Honda
388,Honda WR V,834099,31694,4,2019,Honda
389,Maruti Suzuki Alto,365899,36279,4,2017,Maruti
390,Hyundai i10 Sportz,400899,33349,4,2015,Hyundai
391,Toyota Etios Liva,320199,103182,4,2012,Toyota
392,Hyundai Xcent S,457399,63048,4,2016,Hyundai
393,Maruti Suzuki Baleno,717699,26358,4,2017,Maruti
394,Maruti Suzuki Wagon,417299,18932,4,2017,Maruti
395,Maruti Suzuki Alto,323199,20369,4,2018,Maruti
396,Honda Jazz 1.2,633999,58769,4,2016,Honda
397,Hyundai Creta 1.6,875999,123920,1,2017,Hyundai
398,Hyundai EON -,309399,17900,4,2016,Hyundai
399,Maruti Suzuki Baleno,658999,31041,4,2017,Maruti
400,Maruti Suzuki Wagon,514099,61875,4,2018,Maruti
401,Hyundai Elite i20,672899,29210,4,2016,Hyundai
402,Mahindra TUV300 -,620099,35826,1,2016,Mahindra
403,Ford Freestyle -,733999,29364,4,2019,Ford
404,Renault Triber -,664699,16304,4,2021,Renault
405,Maruti Suzuki Swift,454299,95731,4,2015,Maruti
406,Maruti Suzuki Swift,357499,31011,4,2010,Maruti
407,Maruti Suzuki Swift,447599,30601,4,2014,Maruti
408,Maruti Suzuki S,422299,14568,4,2019,Maruti
409,Toyota Etios V,449699,89559,4,2012,Toyota
410,Hyundai Grand i10,493499,48834,4,2014,Hyundai
411,Hyundai Elite i20,605699,74190,1,2014,Hyundai
412,Ford EcoSport Titanium,755099,43077,4,2016,Ford
413,MG Motors Hector,1401000,16000,4,2020,MG
414,MG Motors Hector,1401000,16000,4,2020,MG
415,Maruti Suzuki Eeco,432699,17981,4,2018,Maruti
416,Maruti Suzuki Eeco,418599,20780,4,2018,Maruti
417,Maruti Suzuki Alto,275799,56719,4,2014,Maruti
418,Maruti Suzuki Wagon,456199,31108,4,2015,Maruti
419,Honda City -,728499,33611,4,2016,Honda
420,Maruti Suzuki Alto,431599,43700,4,2019,Maruti
421,Maruti Suzuki Ignis,533099,49920,4,2017,Maruti
422,Maruti Suzuki Swift,451399,57338,4,2014,Maruti
423,Hyundai Venue S,840699,23096,4,2020,Hyundai
424,Maruti Suzuki Swift,486499,48732,4,2016,Maruti
425,Honda City -,450199,67924,4,2012,Honda
426,Maruti Suzuki Wagon,418999,30418,4,2014,Maruti
427,Honda City -,621299,50593,4,2014,Honda
428,Hyundai i20 Active,508399,136381,4,2016,Hyundai
429,Maruti Suzuki Celerio,390999,46943,4,2015,Maruti
430,Maruti Suzuki Swift,675099,36277,4,2017,Maruti
431,Kia Seltos HTX,1501000,5600,1,2021,Kia
432,Kia Seltos HTX,1501000,5600,1,2021,Kia
433,Maruti Suzuki Wagon,130000,45000,4,2007,Maruti
434,Hyundai Xcent -,464199,70359,1,2015,Hyundai
435,Hyundai EON Era,343999,42205,4,2017,Hyundai
436,Nissan Micra -,441499,60539,4,2015,Nissan
437,Maruti Suzuki Dzire,684999,16533,4,2019,Maruti
438,Volkswagen Polo -,815399,26596,4,2017,Volkswagen
439,Hyundai Grand i10,468999,30912,4,2016,Hyundai
440,Hyundai Venue -,1194799,17951,1,2019,Hyundai
441,Volkswagen Polo -,599899,36928,4,2015,Volkswagen
442,Maruti Suzuki Dzire,710199,22854,4,2018,Maruti
443,Hyundai i20 -,474399,89156,4,2014,Hyundai
444,Maruti Suzuki Baleno,701399,41999,4,2019,Maruti
445,Honda City -,834599,66145,4,2017,Honda
446,Maruti Suzuki Alto,333699,29157,4,2017,Maruti
447,Hyundai EON Era,349799,33882,4,2017,Hyundai
448,Hyundai EON Era,286199,29379,4,2013,Hyundai
449,Maruti Suzuki Alto,386699,17352,4,2019,Maruti
450,Hyundai Creta 1.6,1300000,19000,1,2021,Hyundai
451,Renault Triber -,659199,13486,4,2019,Renault
452,Hyundai Grand i10,572599,33562,4,2018,Hyundai
453,Hyundai Verna -,1171199,13691,4,2018,Hyundai
454,Hyundai Grand i10,557199,31980,4,2017,Hyundai
455,Hyundai Grand i10,531399,69526,4,2016,Hyundai
456,Maruti Suzuki Alto,426199,21492,4,2016,Maruti
457,Maruti Suzuki Celerio,432999,47425,4,2016,Maruti
458,Hyundai Grand i10,458399,40988,4,2016,Hyundai
459,Jeep Compass -,1465199,51983,1,2018,Jeep
460,Maruti Suzuki Vitara,783099,69376,1,2018,Maruti
461,Maruti Suzuki Swift,562399,33094,4,2017,Maruti
462,Tata Tiago -,529199,26237,4,2017,Tata
463,Honda Brio -,447199,42415,4,2015,Honda
464,Hyundai Creta -,944099,112308,1,2016,Hyundai
465,Maruti Suzuki Celerio,452099,61427,4,2017,Maruti
466,MG Motors Hector,1917599,10205,1,2019,MG
